antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'diner wall clock'}),frozenset({'alarm clock bakelike'}),0.03643845124188191,0.06653115859402112,0.0126914877794854,0.3482993197278912,5.235130833257298,0.010267195400991249,1.4323582430759803
frozenset({'alarm clock bakelike'}),frozenset({'diner wall clock'}),0.06653115859402112,0.03643845124188191,0.0126914877794854,0.19076005961251863,5.235130833257298,0.010267195400991249,1.1906994460712657
frozenset({'regency cakestand tier'}),frozenset({'alarm clock bakelike'}),0.07798324327004115,0.06653115859402112,0.011402508551881414,0.14621741894469167,2.197728433333365,0.006214193026206177,1.0933331999490727
frozenset({'alarm clock bakelike'}),frozenset({'regency cakestand tier'}),0.06653115859402112,0.07798324327004115,0.011402508551881414,0.17138599105812222,2.197728433333365,0.006214193026206177,1.112721661449285
frozenset({'bag'}),frozenset({'bag alphabet'}),0.07153834713202122,0.03534777651083238,0.017847404689901345,0.24948024948024952,7.057876735296092,0.015318683183524313,1.2853122423775336
frozenset({'bag alphabet'}),frozenset({'bag'}),0.03534777651083238,0.07153834713202122,0.017847404689901345,0.5049088359046284,7.057876735296092,0.015318683183524313,1.8753347266143598
frozenset({'bag baroque'}),frozenset({'bag'}),0.030588468593525358,0.07153834713202122,0.016112240345049825,0.5267423014586711,7.363076204243143,0.01392399186056928,1.9618521911628184
frozenset({'bag'}),frozenset({'bag baroque'}),0.07153834713202122,0.030588468593525358,0.016112240345049825,0.22522522522522526,7.363076204243142,0.01392399186056928,1.251217209140915
frozenset({'bag doiley pattern'}),frozenset({'bag'}),0.021763918496851917,0.07153834713202122,0.010510138317386347,0.4829157175398633,6.7504455568236885,0.008953183561005537,1.7955712141367517
frozenset({'bag'}),frozenset({'bag doiley pattern'}),0.07153834713202122,0.021763918496851917,0.010510138317386347,0.14691614691614693,6.750445556823689,0.008953183561005537,1.1467056584963793
frozenset({'bag owl'}),frozenset({'bag'}),0.019929601903723167,0.07153834713202122,0.010163105448416043,0.5099502487562189,7.128348210437762,0.008737374669224503,1.8946273322483627
frozenset({'bag'}),frozenset({'bag owl'}),0.07153834713202122,0.019929601903723167,0.010163105448416043,0.14206514206514206,7.128348210437762,0.008737374669224503,1.1423599228214276
frozenset({'bag'}),frozenset({'bag paisley'}),0.07153834713202122,0.025928312924495562,0.013435129641564623,0.18780318780318783,7.243170365541304,0.011580260991024388,1.1993049867320418
frozenset({'bag paisley'}),frozenset({'bag'}),0.025928312924495562,0.07153834713202122,0.013435129641564623,0.5181644359464628,7.243170365541304,0.011580260991024388,1.9269263668648926
frozenset({'bag'}),frozenset({'bag polkadot'}),0.07153834713202122,0.04134648753160478,0.02201179911754499,0.3076923076923077,7.4418004058291825,0.01905393973981926,1.3847217402321266
frozenset({'bag polkadot'}),frozenset({'bag'}),0.04134648753160478,0.07153834713202122,0.02201179911754499,0.5323741007194244,7.441800405829182,0.01905393973981926,1.9854795345946004
